database_id,scientificName,family,subfamily,genus,subgenus,subspecies,species,specificEpithet,infraspecificEpithet,acceptedNameUsage,taxonRank,scientificNameAuthorship,identificationQualifier,higherClassification,identificationReferences,typeStatus,previousIdentifications,verbatimIdentification,identifiedBy,dateIdentified,decimalLatitude,decimalLongitude,stateProvince,continent,locality,island,county,municipality,level0Gid,level0Name,level1Gid,level1Name,license,issue,eventDate,eventTime,day,month,year,basisOfRecord,country,type,occurrenceStatus,recordNumber,recordedBy,eventID,Location,samplingProtocol,samplingEffort,individualCount,organismQuantity,coordinatePrecision,coordinateUncertaintyInMeters,spatiallyValid,catalogNumber,gbifID,datasetID,institutionCode,datasetName,otherCatalogNumbers,occurrenceID,taxonKey,coreid,recordId,collectionID,verbatimScientificName,verbatimEventDate,associatedTaxa,associatedOrganisms,fieldNotes,sex,rights,rightsHolder,accessRights,associatedReferences,bibliographicCitation,references,informationWithheld,isDuplicateOf,hasCoordinate,hasGeospatialIssues,assertions,occurrenceYear,id,duplicateStatus,associatedOccurrences,locationRemarks,dataSource,verbatim_scientificName
Dorey_data_5373863,"Bombus hypnorum (Linnaeus, 1758)",Apidae,Apinae,Bombus,NA,NA,Bombus hypnorum,hypnorum,NA,NA,GENUS,"(Linnaeus, 1758)",NA,NA,NA,NA,NA,kimalainen,NA,NA,64.104862,27.453221,Kainuu (Kn),NA,"Heteenmäki, Kajaani",NA,Kajaani,NA,FIN,Finland,FIN.3_1,Oulu,CC_BY_4_0,NA,2020-03-14T00:00:00Z,NA,14,3,2020,HUMAN_OBSERVATION,Finland,NA,ABSENT,NA,Sirkka Pyykkönen,http://tun.fi/KE.176/5edd05d62d0e5b1e1b945a07#Gathering2,NA,NA,NA,0,NA,NA,100000,NA,http://tun.fi/KE.176/5edd05d62d0e5b1e1b945a07,3449842672,NA,NA,NA,NA,http://tun.fi/KE.176/5edd05d62d0e5b1e1b945a07#Unit11,1340278,NA,NA,NA,"Bombus Latreille, 1802",NA,NA,NA,NA,NA,NA,NA,NA,NA,http://tun.fi/KE.176/5edd05d62d0e5b1e1b945a07#Unit11 Source: FinBIF,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Unique,NA,NA,GBIF_Apidae,NA
Paige_data_2158492,"Protosmia rubifloris (Cockerell, 1898)",Megachilidae,Megachilinae,Protosmia,NA,NA,Protosmia rubifloris,rubifloris,NA,NA,SPECIES,"(Cockerell, 1898)",NA,NA,NA,NA,NA,NA,T.L. Griswold 2007,NA,37.58152,-119.9055,California,NA,withheld,NA,Mariposa,NA,USA,United States,USA.5_1,California,CC_BY_4_0,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,NA,NA,NA,NA,NA,PRESERVED_SPECIMEN,United states,NA,PRESENT,NA,"H. Ikerd, E. Stephens",NA,NA,NA,NA,NA,NA,NA,NA,NA,YOSE162375,659097324,NA,USDA-ARS,NA,NA,659097324,1334783,NA,NA,NA,Protosmia rubifloris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Megachilidae,NA
Paige_data_2186791,"Stelis perpulchra Crawford, 1916",Megachilidae,Megachilinae,Stelis,NA,NA,Stelis perpulchra,perpulchra,NA,NA,SPECIES,"Crawford, 1916",NA,NA,NA,NA,NA,NA,"Ascher, J",2005-01-01T00:00:00,23.96684,-109.9177,Baja California Sur,SOUTH_AMERICA,"Los Planes, 2 km E",NA,NA,NA,MEX,Mexico,MEX.2_1,Baja California Sur,CC_BY_4_0,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY,1994-04-10T00:00:00Z,NA,10,4,1994,PRESERVED_SPECIMEN,Mexico,NA,PRESENT,NA,"Rodriguez, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,329188,657943543,NA,KU,Snow Entomological Museum Collection,NA,2a48f670-1ed6-11e3-bfac-90b11c41863e,5038500,NA,NA,NA,Stelis perpulchra,NA,Prosopis articulata,NA,NA,NA,NA,NA,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Megachilidae,NA
Dorey_data_6963886,"Lasioglossum albipenne (Robertson, 1890)",Halictidae,Halictinae,Lasioglossum,NA,NA,Lasioglossum albipenne,albipenne,NA,NA,GENUS,"(Robertson, 1890)",NA,NA,NA,NA,NA,NA,Robert L. Minckley,NA,31.32532,-109.223,Sonora,NA,30 km east of Agua Prieta,NA,Municipio de Agua Prieta,NA,MEX,Mexico,MEX.26_1,Sonora,CC_BY_NC_4_0,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,2004-07-31T00:00:00Z,NA,31,7,2004,PRESERVED_SPECIMEN,Mexico,NA,PRESENT,NA,J. Arturo Romero,NA,NA,white pan trap,NA,NA,NA,NA,NA,NA,SBV055664,2847316254,NA,RLMC,NA,NA,73cd8976-c45c-43b7-9d6b-013690dcd0b8,1353501,NA,NA,43c894af-a05d-4c92-833c-83e1ebd68701,"Lasioglossum Curtis, 1833",31-Jul-04,NA,NA,NA,FEMALE,http://creativecommons.org/licenses/by-nc/4.0/,Robert Minckley,NA,NA,NA,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=43915981,NA,NA,TRUE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Halictidae,NA
Paige_data_1472039,"Lasioglossum brunneiventre (Crawford, 1907)",Halictidae,Halictinae,Lasioglossum,NA,NA,Lasioglossum brunneiventre,brunneiventre,NA,NA,SPECIES,"(Crawford, 1907)",NA,NA,NA,NA,NA,NA,J. Gibbs 2011,NA,37.58152,-119.9055,California,NA,withheld,NA,Mariposa,NA,USA,United States,USA.5_1,California,CC_BY_4_0,RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,NA,NA,NA,NA,NA,PRESERVED_SPECIMEN,United states,NA,PRESENT,NA,H. Ikerd,NA,NA,NA,NA,NA,NA,NA,NA,NA,BBSL618969,658834439,NA,USDA-ARS,NA,NA,658834439,1354684,NA,NA,NA,Lasioglossum brunneiventre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Halictidae,NA
Dorey_data_7737996,"Lasioglossum laticeps (Schenck, 1869)",Halictidae,Halictinae,Lasioglossum,NA,NA,Lasioglossum laticeps,laticeps,NA,NA,SPECIES,"(Schenck, 1869)",NA,NA,NA,NA,NA,NA,Neumeyer-Funk Rainer,NA,46.15693,8.7008,Ti,NA,NA,NA,NA,NA,CHE,Switzerland,CHE.21_1,Ticino,CC_BY_4_0,NA,1997-04-08T00:00:00Z,NA,8,4,1997,HUMAN_OBSERVATION,Switzerland,NA,PRESENT,NA,Moretti Marco,NA,NA,Combined trap,NA,NA,NA,NA,3535,NA,CSCF-API-729267,3119343125,CSCF-API,WSL,Swiss National Apoidea Databank,NA,CSCF-API-729267,1354102,NA,NA,NA,"Lasioglossum laticeps (Schenck, 1870)",NA,NA,NA,NA,FEMALE,NA,Info Fauna - Centre Suisse de Cartographie de la Faune,NA,"Obrist M.K., Wermelinger B., Moretti M., Gossner M.M., Duelli P. 2021. Hymenoptera. EnviDat. http://doi.org/10.16904/envidat.200",NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Unique,NA,NA,GBIF_Halictidae,NA
Paige_data_1500478,"Lasioglossum foxii (Robertson, 1895)",Halictidae,Halictinae,Lasioglossum,NA,NA,Lasioglossum foxii,foxii,NA,NA,SPECIES,"(Robertson, 1895)",NA,NA,NA,NA,NA,NA,Sam Droege,NA,38.9952,-76.9458,Maryland,NA,NA,NA,Prince George's,College Park,USA,United States,USA.21_1,Maryland,CC0_1_0,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,2015-04-03T00:00:00Z,NA,3,4,2015,PRESERVED_SPECIMEN,United states,NA,PRESENT,NA,Dejen Mengis,USGS_DRO14796,NA,trapType:pan trap; trapCount:9; trapVolume:in field note; trapColor:in field note; trapLiquid:glycol propylene,NA,NA,NA,NA,500,NA,SamplingEventNumber:USGS_DRO14796 | SpecimenNumber:USGS_DRO427643,1456811000,NA,BISON,USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML),NA,USGS_DRO427643,1354803,NA,NA,https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml,Lasioglossum foxii,StartDateTime:20150327xxxxxx; EndDateTime:20150403xxxxxx,NA,NA,"""3 UV-blue, 3 UV-yellow, 3 white cups with stands""",FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Duplicate,NA,NA,GBIF_Halictidae,NA
Paige_data_2023380,"Perdita beatula Timberlake, 1960",Andrenidae,Panurginae,Perdita,NA,NA,Perdita beatula,beatula,NA,NA,SPECIES,"Timberlake, 1960",NA,NA,NA,NA,NA,NA,NA,NA,37.0702,-117.6671,California,NA,"Eureka Dunes, SE side",NA,Inyo,NA,USA,United States,USA.5_1,California,CC_BY_4_0,GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE,1999-05-24T00:00:00Z,NA,24,5,1999,PRESERVED_SPECIMEN,United states,NA,PRESENT,NA,R. Andrus,NA,NA,NA,NA,NA,NA,NA,NA,NA,BBSL340690,659032933,NA,USDA-ARS,NA,NA,659032933,1356206,NA,NA,NA,Perdita beatula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Andrenidae,NA
Paige_data_2133956,"Perdita tridentata Stevens, 1919",Andrenidae,Panurginae,Perdita,NA,NA,Perdita tridentata,tridentata,NA,NA,SPECIES,"Stevens, 1919",NA,NA,NA,NA,NA,NA,unknown,NA,38.06083,-97.92944,Kansas,NORTH_AMERICA,"Hutchinson, SE",NA,Reno,NA,USA,United States,USA.17_1,Kansas,CC_BY_4_0,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY,1951-09-02T00:00:00Z,NA,2,9,1951,PRESERVED_SPECIMEN,United states,NA,PRESENT,NA,Michener & Wille,NA,NA,NA,NA,NA,NA,NA,NA,NA,217000,658206538,NA,KU,Snow Entomological Museum Collection,NA,3859c8bd-1ed6-11e3-bfac-90b11c41863e,1356065,NA,NA,NA,Perdita tridentata,NA,Helianthus petiolaris,NA,NA,NA,NA,NA,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Andrenidae,NA
Dorey_data_9568476,"Lasioglossum oceanicum (Cockerell, 1916)",Halictidae,Halictinae,Lasioglossum,NA,NA,Lasioglossum oceanicum,oceanicum,NA,NA,NA,"(Cockerell, 1916)",NA,Animalia;Arthropoda;Halictidae;Halictinae;Halictini,NA,None,NA,NA,J. S. Ascher,2006,41.09778,-72.10389,New York,NA,Gardiners Island,NA,Suffolk,NA,NA,NA,NA,NA,NA,NA,2005-08-20T00:00:00Z,NA,20,8,2005,PreservedSpecimen,United states,NA,NA,NA,R. G. Goelet,NA,NA,Netting,NA,1,NA,NA,NA,NA,AMNH_BEE 00027899,NA,urn:uuid:13674fa4-8611-11e4-8259-0026552be7ea,AMNH,Collaborative databasing of North American bee collections within a global informatics network project,NA,urn:uuid:83856660-d8e1-11e2-99a2-0026552be7ea,NA,9f02b390-4aca-4029-8e98-88b36b39781a,NA,NA,Lasioglossum oceanicum,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,iDigBio_halictidae,NA
Dorey_data_10104338,"Perdita ignota Cockerell, 1896",Andrenidae,Panurginae,Perdita,NA,NA,Perdita ignota,ignota,NA,NA,NA,"Cockerell, 1896",NA,NA,NA,NA,NA,NA,"Danforth, Bryan",NA,39.02,-95.29,Kansas,Nearctic,"Lawrence, 6.4 km NW",NA,Douglas,NA,NA,NA,NA,NA,NA,NA,1987-09-17T00:00:00Z,NA,17,9,1987,PreservedSpecimen,United states,NA,NA,NA,"Danforth, Bryan",NA,NA,NA,NA,NA,NA,NA,NA,NA,289568,NA,NA,KU,Snow Entomological Museum Collection,NA,2403646f-1ed6-11e3-bfac-90b11c41863e,NA,20d0e557-ba98-4161-847e-1761e36211e1,NA,NA,Perdita (Hexaperdita) ignota,NA,Heterotheca,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,iDigBio_andrenidae,NA
Dorey_data_10523252,"Hylaeus asininus (Cockerell and Casad, 1895)",Colletidae,Hylaeinae,Hylaeus,NA,NA,Hylaeus asininus,asininus,NA,NA,NA,"(Cockerell and Casad, 1895)",NA,NA,NA,NA,NA,NA,NA,NA,26.17313,-98.38252,Texas,NA,Bentsen Rio Grande Valley State Park,NA,Hidalgo,NA,NA,NA,NA,NA,NA,NA,1978-03-22T00:00:00Z,NA,22,3,1978,Preserved specimen,United states,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X1376170,NA,NA,TAMU,NA,NA,b75ed897-f7e5-4267-8fbb-39e0e366a771,NA,60db961c-e415-4e66-ac1d-d1b268975cf2,urn:uuid:07f52f2a-7bac-4aea-970b-5a3e929ec345,13b264e0-ea1c-4ff2-8229-0507f8dbf46a,Hylaeus asininus,3/22/1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,iDigBio_colletidae,NA
Dorey_data_11050901,"Apis mellifera Linnaeus, 1758",Apidae,Apinae,Apis,NA,NA,Apis mellifera,mellifera,NA,NA,NA,"Linnaeus, 1758",NA,NA,NA,NA,Apis mellifera (current),NA,"Hepburn, R.",NA,-34,23.3,Western Cape,Africa,Wittedrif,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-09-18T00:00:00Z,NA,18,9,1988,PreservedSpecimen,South africa,NA,NA,NA,van Noort; Hobson,NA,NA,NA,NA,NA,NA,NA,NA,NA,67910,NA,NA,AM,NA,NA,urn:catalog:AMGS:AMGS:67910,NA,498a3335-c323-430c-aa5c-9f471b61e053,NA,NA,Apis mellifera,NA,NA,NA,NA,Worker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,Coordinates from: Label of specimen,iDigBio_apidae,NA
Dorey_data_11490216,"Apis mellifera Linnaeus, 1758",Apidae,Apinae,Apis,NA,NA,Apis mellifera,mellifera,NA,NA,NA,"Linnaeus, 1758",NA,NA,NA,NA,NA,NA,Kimberly Huntzinger,8/3/2012,31.956,-112.8095,Arizona,NA,NA,NA,Pima,Organ Pipe Cactus National Monument,NA,NA,NA,NA,NA,NA,2011-10-22T00:00:00Z,NA,22,10,2011,preservedspecimen,United states,NA,NA,NA,Kelly Petersen,USGS_DRO9749,NA,trapType:pan trap; trapCount:29; trapVolume:bowl 3.25oz; trapColor:in field note; trapLiquid:soap dawn,NA,NA,NA,NA,NA,NA,SamplingEventNumber:USGS_DRO9749 | SpecimenNumber:USGS_DRO290831,NA,NA,BISON,USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML),NA,USGS_DRO290831,NA,9fe04a7b-c5c9-42e9-9e2d-c9cb54f55fd7,NA,https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml,Apis mellifera,StartDateTime:201110210900xx; EndDateTime:201110220920xx,NA,NA,"""10 fl blue 10 fl white 10 fl yellow;out of 30 bowls, lost : 1 blue""",female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,iDigBio_apidae,NA
