"database_id","scientificName","family","subfamily","genus","subgenus","subspecies","species","specificEpithet","infraspecificEpithet","acceptedNameUsage","taxonRank","scientificNameAuthorship","identificationQualifier","higherClassification","identificationReferences","typeStatus","previousIdentifications","verbatimIdentification","identifiedBy","dateIdentified","decimalLatitude","decimalLongitude","stateProvince","continent","locality","island","county","municipality","level0Gid","level0Name","level1Gid","level1Name","license","issue","eventDate","eventTime","day","month","year","basisOfRecord","country","type","occurrenceStatus","recordNumber","recordedBy","eventID","Location","samplingProtocol","samplingEffort","individualCount","organismQuantity","coordinatePrecision","coordinateUncertaintyInMeters","spatiallyValid","catalogNumber","gbifID","datasetID","institutionCode","datasetName","otherCatalogNumbers","occurrenceID","taxonKey","coreid","recordId","collectionID","verbatimScientificName","verbatimEventDate","associatedTaxa","associatedOrganisms","fieldNotes","sex","rights","rightsHolder","accessRights","associatedReferences","bibliographicCitation","references","informationWithheld","isDuplicateOf","hasCoordinate","hasGeospatialIssues","assertions","occurrenceYear","id","duplicateStatus","associatedOccurrences","locationRemarks","dataSource","verbatim_scientificName",".scientificName_empty",".basisOfRecords_notStandard","countryCO","country_suggested","countryCode",".coordinates_country_inconsistent"
"Dorey_data_12578317","Melissodes tintinnans (Holmberg, 1884)","Apidae","Apinae","Melissodes",NA,NA,"Melissodes tintinnans","tintinnans",NA,NA,NA,"(Holmberg, 1884)",NA,NA,NA,NA,NA,NA,NA,"2007",NA,NA,"Buenos Aires",NA,"Dpto. Puan Felipe Sola",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1938/02/13 00:00:00",NA,13,2,1938,"PreservedSpecimen","Argentina",NA,NA,NA,"M.M. Senkute",NA,NA,NA,NA,1,NA,NA,NA,NA,"INHS Insect Collection 343610",NA,NA,"INHS",NA,NA,"85311084-bc68-4ff4-91b9-ccb70a344030",NA,NA,"urn:uuid:a752d4f8-0ce5-4dee-8cb8-51fed55bb1dc","d93d943b-2390-4e2c-9050-11a9ec9a2a96","Melissodes tintinnans","1938-2-13",NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=61353163",NA,NA,NA,NA,NA,NA,"61353163","Duplicate",NA,NA,"SCAN_Apidae",NA,TRUE,TRUE,NA,"Argentina","AR",TRUE
"Dorey_data_16704162","Trigona spinipes (Fabricius, 1793)","Apidae","Apinae","Trigona",NA,NA,"Trigona spinipes","spinipes",NA,NA,NA,"(Fabricius, 1793)",NA,NA,NA,NA,NA,NA,"Camargo","2005",NA,NA,"São Paulo",NA,"Fazenda Santa Carlota",NA,NA,"Cajurú",NA,NA,NA,NA,NA,NA,"1989/04/21 00:00:00",NA,21,4,1989,"PreservedSpecimen","Brazil",NA,NA,NA,"S.R.M.Pedro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"FLG-3493",NA,NA,"USP-RP",NA,NA,"BRA:USP-RP:RPSP:FLG-3493",NA,NA,"urn:uuid:2e43f559-6391-44f7-9512-fa8628a0b104","20161031-4d22-4001-976d-dcf11874a52e","Trigona spinipes","1989-04-21",NA,NA,NA,"female","http://creativecommons.org/licenses/by-nc/4.0/","J.M.F. Camargo, FFCLRP/USP",NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=60029034",NA,NA,NA,NA,NA,NA,"60029034","Duplicate",NA,NA,"SCAN_Apidae",NA,TRUE,TRUE,NA,"Brazil","BR",TRUE
"Dorey_data_4691171","Bombus campestris (Panzer, 1801)","Apidae","Apinae","Bombus",NA,NA,"Bombus campestris","campestris",NA,NA,"SPECIES","(Panzer, 1801)",NA,"Hymenoptera|Apidae",NA,NA,NA,NA,NA,NA,NA,NA,"Vaud",NA,"Les Chevalleyres, Près-Vevey",NA,NA,NA,NA,NA,NA,NA,"CC0_1_0","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_MATCH_HIGHERRANK;AMBIGUOUS_INSTITUTION","1911/07/12 00:00:00",NA,12,7,1911,"PRESERVED_SPECIMEN",NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"ZMA.INS.646816",2443343543,NA,NA,NA,NA,"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.646816",1340527,NA,NA,NA,"Bombus campestris (Panzer, 1801)","12-28-7-1911",NA,NA,NA,"MALE",NA,"Naturalis Biodiversity Center",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_8125678","Lasioglossum leucopus (Kirby, 1802)","Halictidae","Halictinae","Lasioglossum",NA,NA,"Lasioglossum leucopus","leucopus",NA,NA,"SPECIES","(Kirby, 1802)",NA,"Hymenoptera|Halictidae",NA,NA,NA,NA,NA,NA,NA,NA,"Limburg",NA,"Schin op Geul",NA,NA,NA,NA,NA,NA,NA,"CC0_1_0","AMBIGUOUS_INSTITUTION","1924/09/02 00:00:00",NA,2,9,1924,"PRESERVED_SPECIMEN",NA,NA,"PRESENT",NA,"coll. Blöte",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RMNH.INS.821500",2443241596,NA,NA,NA,NA,"https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.821500",1353834,NA,NA,NA,"Lasioglossum leucopus (Kirby, 1802)","2-IX-1924",NA,NA,NA,"MALE",NA,"Naturalis Biodiversity Center",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,"Kept duplicate",NA,NA,"GBIF_Halictidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_13814667","Melissodes tristis Cockerell, 1894","Apidae","Apinae","Melissodes",NA,NA,"Melissodes tristis","tristis",NA,NA,NA,"Cockerell, 1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,"Southwestern Research Station (SWRS), 5 mi W of Portal",NA,"Cochise Co.",NA,NA,NA,NA,NA,NA,NA,"1956/10/05 00:00:00",NA,5,10,1956,"PreservedSpecimen","United states",NA,NA,NA,"E. Ordway",NA,NA,"Netting",NA,1,NA,NA,NA,NA,"AMNH_BEE 00150342",NA,NA,"AMNH",NA,NA,"85670894-d8e1-11e2-99a2-0026552be7ea",NA,NA,"urn:uuid:07d8c6f5-4f87-4452-aa58-c561aafd256d","66acc5ec-da39-42c7-811a-824c25f96161","Melissodes tristis Cockerell, 1894","10/5/1956",NA,NA,NA,"Female","http://creativecommons.org/licenses/by-nc/4.0/","AMNH","Not-for-profit use only",NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49667267",NA,NA,NA,NA,NA,NA,"49667267","Duplicate",NA,NA,"SCAN_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_15004947","Osmia pumila Cresson, 1864","Megachilidae","Megachilinae","Osmia",NA,NA,"Osmia pumila","pumila",NA,NA,NA,"Cresson, 1864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minnesota",NA,"2 mi W of Wabasha",NA,"Wabasha Co.",NA,NA,NA,NA,NA,NA,NA,"1962/05/30 00:00:00",NA,30,5,1962,"PreservedSpecimen","United states",NA,NA,NA,"J. R. Powers",NA,NA,"Netting",NA,1,NA,NA,NA,NA,"AMNH_BEE 00099924",NA,NA,"AMNH",NA,NA,"84cdee48-d8e1-11e2-99a2-0026552be7ea",NA,NA,"urn:uuid:729866b7-8dce-480c-b3dd-e39e227629fd","66acc5ec-da39-42c7-811a-824c25f96161","Osmia pumila Cresson, 1864","5/30/1962",NA,NA,NA,"Female","http://creativecommons.org/licenses/by-nc/4.0/","AMNH","Not-for-profit use only",NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49489781",NA,NA,NA,NA,NA,NA,"49489781","Duplicate",NA,NA,"SCAN_Megachilidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_5037210","Zadontomerus Ashmead, 1899","Apidae",NA,"Zadontomerus",NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Luis Potosi","SOUTH_AMERICA","Platanito, hwy 80 km 141, W",NA,NA,NA,NA,NA,NA,NA,"CC_BY_4_0","COLLECTION_MATCH_FUZZY","1990/07/27 00:00:00",NA,27,7,1990,"PRESERVED_SPECIMEN",NA,NA,"PRESENT",NA,"Bell & Yarom",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1212112",894558971,NA,"KU","Snow Entomological Museum Collection",NA,"e321b13b-2028-4938-b6b3-5b1c2c666805",4578242,NA,NA,NA,"Ceratina (Zadontomerus)",NA,NA,NA,NA,NA,NA,NA,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,"Kept duplicate",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_11128883","Bombus (Pyrobombus) hypnorum ericetorum (Panzer, 1801)","Apidae",NA,"Bombus","Pyrobombus",NA,NA,"hypnorum","ericetorum",NA,"subspecies","(Panzer, 1801)",NA,"Hymenoptera|Apidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Berlin-Buch",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1936/07/03 02:36:07",NA,3,7,1936,"PreservedSpecimen","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZMA.INS.756554",NA,NA,NA,NA,NA,"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.756554",NA,"b94dcf8f-1fa3-4490-b914-557ebf29ebb1",NA,NA,NA,"VII.36",NA,NA,NA,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unique",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,"Germany","DE",TRUE
"Dorey_data_12021473","Bombus (Thoracobombus) pascuorum septentrionalis Vogt, 1909","Apidae",NA,"Bombus","Thoracobombus",NA,NA,"pascuorum","septentrionalis",NA,"subspecies","Vogt, 1909",NA,"Hymenoptera|Apidae",NA,NA,NA,NA,NA,NA,NA,NA,"Scotland",NA,"Thurso",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1910/08/12 00:00:00",NA,12,8,1910,"PreservedSpecimen","United kingdom",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"ZMA.INS.684242",NA,NA,NA,NA,NA,"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.684242",NA,"d15bf3d8-5f88-49f3-893c-825e9c4daaa8",NA,NA,NA,"12-8-1910",NA,NA,NA,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unique",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_15654128","Halictidae","Halictidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thomson, 1869",NA,NA,NA,NA,NA,NA,NA,"2007",NA,NA,NA,NA,"1 Km N of Jct. Highway 95, and Neds Creek Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,"M.E. Irwin, E.I. Schlinger",NA,NA,NA,NA,1,NA,NA,NA,NA,"INHS Insect Collection 316226",NA,NA,"INHS",NA,NA,"e42bf690-0092-4198-8222-33e9a28af42c",NA,NA,"urn:uuid:4cf6f7e3-f001-4cb8-9174-b1092149d510","d93d943b-2390-4e2c-9050-11a9ec9a2a96",NA,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=61276087",NA,NA,NA,NA,NA,NA,"61276087","Duplicate",NA,NA,"SCAN_Halictidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_9505674","Agapostemon tyleri Cockerell, 1917","Halictidae","Halictinae","Agapostemon",NA,NA,"Agapostemon tyleri","tyleri",NA,NA,NA,"Cockerell, 1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,"Huachuca City, 5 mi NNW",NA,"Cochise",NA,NA,NA,NA,NA,NA,NA,"1988/10/13 00:00:00",NA,13,10,1988,"PreservedSpecimen","United states",NA,NA,NA,"T.L. Griswold",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL695152",NA,NA,"USDA-ARS",NA,NA,"658611920",NA,"a7325665-ac45-4924-be0e-2a5931a89137",NA,NA,"Agapostemon tyleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_halictidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_10009680","Agapostemon tyleri Cockerell, 1917","Halictidae","Halictinae","Agapostemon",NA,NA,"Agapostemon tyleri","tyleri",NA,NA,NA,"Cockerell, 1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,"Huachua Mountains, Carr Canyon",NA,"Cochise",NA,NA,NA,NA,NA,NA,NA,"1930/06/06 00:00:00",NA,6,6,1930,"PreservedSpecimen","United states",NA,NA,NA,"E.G. Linsley",NA,NA,NA,NA,NA,NA,NA,NA,NA,"107894",NA,NA,"USDA-ARS",NA,NA,"658611954",NA,"c4d2bd6a-e6b5-4b07-a7a6-6a68e73fbd05",NA,NA,"Agapostemon tyleri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_halictidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_11115829","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,"T.L. Griswold 1995",NA,NA,NA,"California",NA,"withheld",NA,"SanBernardino",NA,NA,NA,NA,NA,NA,NA,"1994/01/01 00:00:00",NA,1,1,1994,"PreservedSpecimen","United states",NA,NA,NA,"T.L. Griswold",NA,NA,NA,NA,NA,NA,NA,NA,NA,"104929",NA,NA,"USDA-ARS",NA,NA,"658711904",NA,"f137e138-7e40-412a-9d7e-9382fe6d2fdb",NA,NA,"Centris rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_11447599","Centris rhodopus Cockerell, 1897","Apidae","Apinae","Centris",NA,NA,"Centris rhodopus","rhodopus",NA,NA,NA,"Cockerell, 1897",NA,NA,NA,NA,NA,NA,"J.S. Ascher 2007",NA,NA,NA,"Utah",NA,"Beaver Dam Wash, Lytle Ranch Preserve",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,"1987/08/06 00:00:00",NA,6,8,1987,"PreservedSpecimen","United states",NA,NA,NA,"W.J. Hanson",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL688981",NA,NA,"USDA-ARS",NA,NA,"658712111",NA,"b25051fe-b992-48a6-9645-f947978ef478",NA,NA,"Centris rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
